詞	詞頻	注音	分類
土牆	13	ㄊㄨˇ ㄑㄧㄤˊ	建築土木
土石流	11	ㄊㄨˇ ㄕˊ ㄌㄧㄡˊ	建築土木
地下	14	ㄉㄧˋ ㄒㄧㄚˋ	建築土木
地下水位	10	ㄉㄧˋ ㄒㄧㄚˋ ㄕㄨㄟˇ ㄨㄟˋ	建築土木
地滑監測	10	ㄉㄧˋ ㄏㄨㄚˊ ㄐㄧㄢ ㄘㄜˋ	建築土木
地盤	8	ㄉㄧˋ ㄆㄢˊ	建築土木
地盤修復	10	ㄉㄧˋ ㄆㄢˊ ㄒㄧㄡ ㄈㄨˋ	建築土木
地盤改良	10	ㄉㄧˋ ㄆㄢˊ ㄍㄞˇ ㄌㄧㄤˊ	建築土木
地盤施工	10	ㄉㄧˋ ㄆㄢˊ ㄕ ㄍㄨㄥ	建築土木
地盤檢驗	11	ㄉㄧˋ ㄆㄢˊ ㄐㄧㄢˇ ㄧㄢˋ	建築土木
地盤監測	11	ㄉㄧˋ ㄆㄢˊ ㄐㄧㄢ ㄘㄜˋ	建築土木
地盤補強	10	ㄉㄧˋ ㄆㄢˊ ㄅㄨˇ ㄑㄧㄤˊ	建築土木
地盤設計	12	ㄉㄧˋ ㄆㄢˊ ㄕㄜˋ ㄐㄧˋ	建築土木
地質鑽探	10	ㄉㄧˋ ㄓˊ ㄗㄨㄢ ㄊㄢˋ	建築土木
基層	13	ㄐㄧ ㄘㄥˊ	建築土木
基礎	9	ㄐㄧ ㄔㄨˇ	建築土木
基礎修復	12	ㄐㄧ ㄔㄨˇ ㄒㄧㄡ ㄈㄨˋ	建築土木
基礎施工	12	ㄐㄧ ㄔㄨˇ ㄕ ㄍㄨㄥ	建築土木
基礎檢驗	13	ㄐㄧ ㄔㄨˇ ㄐㄧㄢˇ ㄧㄢˋ	建築土木
基礎監測	13	ㄐㄧ ㄔㄨˇ ㄐㄧㄢ ㄘㄜˋ	建築土木
基礎補強	12	ㄐㄧ ㄔㄨˇ ㄅㄨˇ ㄑㄧㄤˊ	建築土木
基礎設計	13	ㄐㄧ ㄔㄨˇ ㄕㄜˋ ㄐㄧˋ	建築土木
填土	14	ㄊㄧㄢˊ ㄊㄨˇ	建築土木
外殼節能	11	ㄨㄞˋ ㄎㄜˊ ㄐㄧㄝˊ ㄋㄥˊ	建築土木
外牆工程	11	ㄨㄞˋ ㄑㄧㄤˊ ㄍㄨㄥ ㄔㄥˊ	建築土木
大眾運輸	12	ㄉㄚˋ ㄓㄨㄥˋ ㄩㄣˋ ㄕㄨ	建築土木
孿生	11	ㄌㄨㄢˊ ㄕㄥ	建築土木
安全	16	ㄢ ㄑㄩㄢˊ	建築土木
定位	13	ㄉㄧㄥˋ ㄨㄟˋ	建築土木
室內	12	ㄕˋ ㄋㄟˋ	建築土木
容積移轉	10	ㄖㄨㄥˊ ㄐㄧ ㄧˊ ㄓㄨㄢˇ	建築土木
密度	13	ㄇㄧˋ ㄉㄨˋ	建築土木
導向	12	ㄉㄠˇ ㄒㄧㄤˋ	建築土木
山崩防治	10	ㄕㄢ ㄅㄥ ㄈㄤˊ ㄓˋ	建築土木
岩盤	14	ㄧㄢˊ ㄆㄢˊ	建築土木
巡檢	10	ㄒㄩㄣˊ ㄐㄧㄢˇ	建築土木
工地	13	ㄍㄨㄥ ㄉㄧˋ	建築土木
工地放樣	11	ㄍㄨㄥ ㄉㄧˋ ㄈㄤˋ ㄧㄤˋ	建築土木
工法	17	ㄍㄨㄥ ㄈㄚˇ	建築土木
工程	18	ㄍㄨㄥ ㄔㄥˊ	建築土木
工程估價	12	ㄍㄨㄥ ㄔㄥˊ ㄍㄨ ㄐㄧㄚˋ	建築土木
工程測量	12	ㄍㄨㄥ ㄔㄥˊ ㄘㄜˋ ㄌㄧㄤˊ	建築土木
市地重劃	10	ㄕˋ ㄉㄧˋ ㄔㄨㄥˊ ㄏㄨㄚˋ	建築土木
帷幕牆	16	ㄨㄟˊ ㄇㄨˋ ㄑㄧㄤˊ	建築土木
平坦度	11	ㄆㄧㄥˊ ㄊㄢˇ ㄉㄨˋ	建築土木
平板	11	ㄆㄧㄥˊ ㄅㄢˇ	建築土木
平面線形	11	ㄆㄧㄥˊ ㄇㄧㄢˋ ㄒㄧㄢˋ ㄒㄧㄥˊ	建築土木
延時曲線	11	ㄧㄢˊ ㄕˊ ㄑㄩ ㄒㄧㄢˋ	建築土木
建築	19	ㄐㄧㄢˋ ㄓㄨˊ	建築土木
建築節能	12	ㄐㄧㄢˋ ㄓㄨˊ ㄐㄧㄝˊ ㄋㄥˊ	建築土木
建築聲學	12	ㄐㄧㄢˋ ㄓㄨˊ ㄕㄥ ㄒㄩㄝˊ	建築土木
弱電工程	12	ㄖㄨㄛˋ ㄉㄧㄢˋ ㄍㄨㄥ ㄔㄥˊ	建築土木
張力結構	10	ㄓㄤ ㄌㄧˋ ㄐㄧㄝˊ ㄍㄡˋ	建築土木
微型隧道	10	ㄨㄟˊ ㄒㄧㄥˊ ㄙㄨㄟˋ ㄉㄠˋ	建築土木
性能式	12	ㄒㄧㄥˋ ㄋㄥˊ ㄕˋ	建築土木
懸索結構	10	ㄒㄩㄢˊ ㄙㄨㄛˇ ㄐㄧㄝˊ ㄍㄡˋ	建築土木
成本控制	12	ㄔㄥˊ ㄅㄣˇ ㄎㄨㄥˋ ㄓˋ	建築土木
排水	14	ㄆㄞˊ ㄕㄨㄟˇ	建築土木
排水系統	14	ㄆㄞˊ ㄕㄨㄟˇ ㄒㄧˋ ㄊㄨㄥˇ	建築土木
排煙系統	13	ㄆㄞˊ ㄧㄢ ㄒㄧˋ ㄊㄨㄥˇ	建築土木
採光分析	11	ㄘㄞˇ ㄍㄨㄤ ㄈㄣ ㄒㄧ	建築土木
擋土設施	14	ㄉㄤˇ ㄊㄨˇ ㄕㄜˋ ㄕ	建築土木
攪拌	11	ㄐㄧㄠˇ ㄅㄢˋ	建築土木
數位	14	ㄕㄨˋ ㄨㄟˋ	建築土木
數量	14	ㄕㄨˋ ㄌㄧㄤˋ	建築土木
新奧工法	13	ㄒㄧㄣ ㄠˋ ㄍㄨㄥ ㄈㄚˇ	建築土木
施工	17	ㄕ ㄍㄨㄥ	建築土木
施工查核	21	ㄕ ㄍㄨㄥ ㄔㄚˊ ㄏㄜˊ	建築土木
施工規範	13	ㄕ ㄍㄨㄥ ㄍㄨㄟ ㄈㄢˋ	建築土木
日照分析	11	ㄖˋ ㄓㄠˋ ㄈㄣ ㄒㄧ	建築土木
明挖	13	ㄇㄧㄥˊ ㄨㄚ	建築土木
景觀工程	12	ㄐㄧㄥˇ ㄍㄨㄢ ㄍㄨㄥ ㄔㄥˊ	建築土木
材料試驗	13	ㄘㄞˊ ㄌㄧㄠˋ ㄕˋ ㄧㄢˋ	建築土木
柔性路面	9	ㄖㄡˊ ㄒㄧㄥˋ ㄌㄨˋ ㄇㄧㄢˋ	建築土木
核心筒	11	ㄏㄜˊ ㄒㄧㄣ ㄊㄨㄥˇ	建築土木
梁柱	8	ㄌㄧㄤˊ ㄓㄨˋ	建築土木
梁柱修復	9	ㄌㄧㄤˊ ㄓㄨˋ ㄒㄧㄡ ㄈㄨˋ	建築土木
梁柱施工	10	ㄌㄧㄤˊ ㄓㄨˋ ㄕ ㄍㄨㄥ	建築土木
梁柱檢驗	11	ㄌㄧㄤˊ ㄓㄨˋ ㄐㄧㄢˇ ㄧㄢˋ	建築土木
梁柱監測	10	ㄌㄧㄤˊ ㄓㄨˋ ㄐㄧㄢ ㄘㄜˋ	建築土木
梁柱補強	9	ㄌㄧㄤˊ ㄓㄨˋ ㄅㄨˇ ㄑㄧㄤˊ	建築土木
梁柱設計	12	ㄌㄧㄤˊ ㄓㄨˋ ㄕㄜˋ ㄐㄧˋ	建築土木
條形基礎	10	ㄊㄧㄠˊ ㄒㄧㄥˊ ㄐㄧ ㄔㄨˇ	建築土木
植栽工程	12	ㄓˊ ㄗㄞ ㄍㄨㄥ ㄔㄥˊ	建築土木
構造	15	ㄍㄡˋ ㄗㄠˋ	建築土木
樁工法	11	ㄓㄨㄤ ㄍㄨㄥ ㄈㄚˇ	建築土木
樓板	8	ㄌㄡˊ ㄅㄢˇ	建築土木
樓板修復	9	ㄌㄡˊ ㄅㄢˇ ㄒㄧㄡ ㄈㄨˋ	建築土木
樓板施工	10	ㄌㄡˊ ㄅㄢˇ ㄕ ㄍㄨㄥ	建築土木
樓板檢驗	11	ㄌㄡˊ ㄅㄢˇ ㄐㄧㄢˇ ㄧㄢˋ	建築土木
樓板監測	10	ㄌㄡˊ ㄅㄢˇ ㄐㄧㄢ ㄘㄜˋ	建築土木
樓板補強	9	ㄌㄡˊ ㄅㄢˇ ㄅㄨˇ ㄑㄧㄤˊ	建築土木
樓板設計	12	ㄌㄡˊ ㄅㄢˇ ㄕㄜˋ ㄐㄧˋ	建築土木
標準	14	ㄅㄧㄠ ㄓㄨㄣˇ	建築土木
模型	14	ㄇㄛˊ ㄒㄧㄥˊ	建築土木
模板	8	ㄇㄛˊ ㄅㄢˇ	建築土木
模板修復	9	ㄇㄛˊ ㄅㄢˇ ㄒㄧㄡ ㄈㄨˋ	建築土木
模板工程	11	ㄇㄛˊ ㄅㄢˇ ㄍㄨㄥ ㄔㄥˊ	建築土木
模板施工	10	ㄇㄛˊ ㄅㄢˇ ㄕ ㄍㄨㄥ	建築土木
橋梁	8	ㄑㄧㄠˊ ㄌㄧㄤˊ	建築土木
橫斷面	12	ㄏㄥˊ ㄉㄨㄢˋ ㄇㄧㄢˋ	建築土木
檢驗	17	ㄐㄧㄢˇ ㄧㄢˋ	建築土木
污水	12	ㄨ ㄕㄨㄟˇ	建築土木
洪水	12	ㄏㄨㄥˊ ㄕㄨㄟˇ	建築土木
消防	13	ㄒㄧㄠ ㄈㄤˊ	建築土木
深層	12	ㄕㄣ ㄘㄥˊ	建築土木
混凝土	16	ㄏㄨㄣˇ ㄋㄧㄥˊ ㄊㄨˇ	建築土木
測量	17	ㄘㄜˋ ㄌㄧㄤˊ	建築土木
瀝青	8	ㄌㄧˋ ㄑㄧㄥ	建築土木
灌漿	10	ㄍㄨㄢˋ ㄐㄧㄤ	建築土木
灑水	12	ㄙㄚˇ ㄕㄨㄟˇ	建築土木
火警	11	ㄏㄨㄛˇ ㄐㄧㄥˇ	建築土木
無人機	10	ㄨˊ ㄖㄣˊ ㄐㄧ	建築土木
無障礙	14	ㄨˊ ㄓㄤˋ ㄞˋ	建築土木
現地	13	ㄒㄧㄢˋ ㄉㄜ˙	建築土木
生活圈	11	ㄕㄥ ㄏㄨㄛˊ ㄑㄩㄢ	建築土木
發展	15	ㄈㄚ ㄓㄢˇ	建築土木
監測	16	ㄐㄧㄢ ㄘㄜˋ	建築土木
砂土	14	ㄕㄚ ㄊㄨˇ	建築土木
碎石	11	ㄙㄨㄟˋ ㄕˊ	建築土木
穩定	15	ㄨㄣˇ ㄉㄧㄥˋ	建築土木
穩定分析	13	ㄨㄣˇ ㄉㄧㄥˋ ㄈㄣ ㄒㄧ	建築土木
空氣品質	10	ㄎㄨㄥ ㄑㄧˋ ㄆㄧㄣˇ ㄓˊ	建築土木
管理	17	ㄍㄨㄢˇ ㄌㄧˇ	建築土木
系統	17	ㄒㄧˋ ㄊㄨㄥˇ	建築土木
級配粒料	9	ㄐㄧˊ ㄆㄟˋ ㄌㄧˋ ㄌㄧㄠˋ	建築土木
結構鋼	9	ㄐㄧㄝˊ ㄍㄡˋ ㄍㄤ	建築土木
給排水	13	ㄐㄧˇ ㄆㄞˊ ㄕㄨㄟˇ	建築土木
經緯儀	9	ㄐㄧㄥ ㄨㄟˇ ㄧˊ	建築土木
維護管理	22	ㄨㄟˊ ㄏㄨˋ ㄍㄨㄢˇ ㄌㄧˇ	建築土木
線形	12	ㄒㄧㄢˋ ㄒㄧㄥˊ	建築土木
縱斷面	11	ㄗㄨㄥ ㄉㄨㄢˋ ㄇㄧㄢˋ	建築土木
耐震	14	ㄋㄞˋ ㄓㄣˋ	建築土木
耐震評估	22	ㄋㄞˋ ㄓㄣˋ ㄆㄧㄥˊ ㄍㄨ	建築土木
職業	13	ㄓˊ ㄧㄝˋ	建築土木
自動警報	10	ㄗˋ ㄉㄨㄥˋ ㄐㄧㄥˇ ㄅㄠˋ	建築土木
衛星	13	ㄨㄟˋ ㄒㄧㄥ	建築土木
衛生	15	ㄨㄟˋ ㄕㄥ	建築土木
補強	15	ㄅㄨˇ ㄑㄧㄤˊ	建築土木
覆蓋	13	ㄈㄨˋ ㄍㄞˋ	建築土木
規劃	14	ㄍㄨㄟ ㄏㄨㄚˋ	建築土木
計畫	18	ㄐㄧˋ ㄏㄨㄚˋ	建築土木
計畫書	13	ㄐㄧˋ ㄏㄨㄚˋ ㄕㄨ	建築土木
計算	13	ㄐㄧˋ ㄙㄨㄢˋ	建築土木
設計	19	ㄕㄜˋ ㄐㄧˋ	建築土木
試驗	17	ㄕˋ ㄧㄢˋ	建築土木
變更	12	ㄅㄧㄢˋ ㄍㄥ	建築土木
貫入	13	ㄍㄨㄢˋ ㄖㄨˋ	建築土木
資訊	16	ㄗ ㄒㄩㄣˋ	建築土木
載重	10	ㄗㄞˋ ㄓㄨㄥˋ	建築土木
連續壁	11	ㄌㄧㄢˊ ㄒㄩˋ ㄅㄧˋ	建築土木
道路	8	ㄉㄠˋ ㄌㄨˋ	建築土木
邊坡	10	ㄅㄧㄢ ㄆㄛ	建築土木
都市計畫	10	ㄉㄨ ㄕˋ ㄐㄧˋ ㄏㄨㄚˋ	建築土木
鋪面	12	ㄆㄨ ㄇㄧㄢˋ	建築土木
鋼構	8	ㄍㄤ ㄍㄡˋ	建築土木
鋼筋	13	ㄍㄤ ㄐㄧㄣ	建築土木
鋼纖維噴	11	ㄍㄤ ㄒㄧㄢ ㄨㄟˊ ㄆㄣ	建築土木
鋼骨	10	ㄍㄤ ㄍㄨˇ	建築土木
開挖面	10	ㄎㄞ ㄨㄚ ㄇㄧㄢˋ	建築土木
開發	14	ㄎㄞ ㄈㄚ	建築土木
防水層	16	ㄈㄤˊ ㄕㄨㄟˇ ㄘㄥˊ	建築土木
防治	14	ㄈㄤˊ ㄓˋ	建築土木
隧道	8	ㄙㄨㄟˋ ㄉㄠˋ	建築土木
集水區	11	ㄐㄧˊ ㄕㄨㄟˇ ㄑㄩ	建築土木
雨水	12	ㄩˇ ㄕㄨㄟˇ	建築土木
預力	12	ㄩˋ ㄌㄧˋ	建築土木
預壓	12	ㄩˋ ㄧㄚ	建築土木
頻率	12	ㄆㄧㄣˊ ㄌㄩˋ	建築土木
高壓	12	ㄍㄠ ㄧㄚ	建築土木
黏土	14	ㄋㄧㄢˊ ㄊㄨˇ	建築土木
